Feature Name,Data Type,Description,Status,Created At,Created By,Updated At,Updated By,Destination Table,Update Window,Version,Query Path,Dependent Features,Weight,Is Risk,Query,Is Active,Source Table,Feature ID
work_machine_change_score,double,Score based on the count of different machine operator has worked on in the last 90 calender days,PROD,"18/5/2026, 1:21 PM",saksham.nisg,"1/6/2026, 12:42 PM",saksham.nisg,strot.operator360.features_risk_v1,24h,2,,"[scoring_method:rank_scoring, feature_id:work_machine_change_instances_v1, range_start:0.5, range_end:1, require_aggregation:False, is_inverse:False, apply_threshold:False]",,,,,strot.operator360.features_work_v1,work_machine_change_score_v2
work_opt_hof_instances,integer,UIDs where operator serves as HOF,PROD,"13/2/2026, 4:38 PM",saksham.nisg,,,strot.operator360.features_work_v1,24h,1,,[],,,,,,work_opt_hof_instances_v1
bio_mfc_face_nonhuman_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Non Human verdict for face,DEPRECATED,"24/2/2026, 1:00 PM",saksham.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_face_non_human=true]",,,,,strot.operator360.bio_mfc_face_fraud_refids,bio_mfc_face_nonhuman_incidents_24h_v1
bio_packet_iris_flipped_count_cumulative,double,Cumulative count of the Flipped verdict in Iris modality by the MFC,PROD,"6/7/2026, 4:52 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,[period_in_days:1],,,,,strot.operator360.features_bio_v1,bio_packet_iris_flipped_count_cumulative_v1
bio_sfc_fraud_score,double,Score based on the number of unsystematic packets in systemmatic fraud stage	,PROD,"1/6/2026, 9:54 AM",saksham.nisg,"1/6/2026, 12:33 PM",saksham.nisg,strot.operator360.features_risk_v1,24h,2,,"[scoring_method:rank_scoring, feature_id:bio_sfc_fraud_incidents_v1, range_start:0, range_end:1, require_aggregation:False, is_inverse:False, apply_threshold:False]",,,,,strot.operator360.features_bio_v1,bio_sfc_fraud_score_v2
work_machine_change_zscore,double,Zscore based on the count of different machine operator has worked on in the last 90 calender days,PROD,"27/5/2026, 4:45 PM",saksham.nisg,"1/6/2026, 12:25 PM",saksham.nisg,strot.operator360.features_risk_v1,24h,2,,"[scoring_method:zscore, feature_id:work_machine_change_instances_v1, require_aggregation:False]",,,,,strot.operator360.features_work_v1,work_machine_change_zscore_v2
work_pob_declared_score,double,Score based on the count of number of packets where the operator has declared the proof of birth of a resident in the last 365 calender days	,PROD,"17/5/2026, 6:34 AM",saksham.nisg,"1/6/2026, 12:36 PM",saksham.nisg,strot.operator360.features_risk_v1,24h,2,,"[scoring_method:rank_scoring, feature_id:work_pob_declared_instances_v1, range_start:0.5, range_end:1, require_aggregation:False, is_inverse:False, apply_threshold:False]",,,,,strot.operator360.features_work_v1,work_pob_declared_score_v2
sustxn_res_mobilechange_zscore,double,"Zscore based on the number of mobile changes per resident, aggregated after 2020",PROD,"27/5/2026, 4:52 PM",saksham.nisg,"1/6/2026, 5:21 PM",saksham.nisg,strot.operator360.features_risk_v1,24h,2,,"[scoring_method:zscore, feature_id:sustxn_res_mobilechange_instances_count_cumulative_v2, require_aggregation:False]",,,,,strot.operator360.features_sustxn_v1,sustxn_res_mobilechange_zscore_v2
hardware_multiple_biodev_instances,double,Number of bio devices used by the operators,PROD,"24/3/2026, 7:06 PM",saksham.nisg,"30/7/2026, 10:27 AM",saksham.nisg,strot.operator360.features_hardware_v1,24h,2,,[period_in_days:1],,,,,flink_stream.stream_enu.bi_enu_enrlraw_v2,hardware_multiple_biodev_instances_24h_v2
bio_packet_iris_right_fraud_count_daily,double,Count of Instances from the manual fraud check where unsystematic right iris is obtained,PROD,"14/8/2026, 6:42 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,[period_in_days:1],,,,,flink_stream.stream_enu.enu_bfc_analytics_raw_v1,bio_packet_iris_right_fraud_count_daily_v1
bio_mfc_fraud_score,double,Score based on the number of manual fraud cases by the operator over the last 30 calender days,PROD,"15/5/2026, 4:54 PM",saksham.nisg,"1/6/2026, 12:53 PM",saksham.nisg,strot.operator360.features_risk_v1,24h,2,,"[scoring_method:rank_scoring, feature_id:[bio_packet_finger_toe_print_count_daily_v1,bio_packet_face_pop_count_daily_v1,bio_packet_iris_pop_count_daily_v1,bio_packet_iris_non_human_count_daily_v1
     ,bio_packet_face_non_human_count_daily_v1,bio_packet_iris_mixed_count_daily_v1,bio_packet_iris_swap_count_daily_v1,bio_packet_finger_swap_count_daily_v1,
     bio_packet_finger_mixed_count_daily_v1,bio_packet_face_adult_as_child_count_daily_v1], range_start:0, range_end:1, require_aggregation:True, is_inverse:False, apply_threshold:False, weights:{bio_packet_finger_toe_print_count_daily_v1:10, 
     bio_packet_face_pop_count_daily_v1:8, 
     bio_packet_iris_pop_count_daily_v1:8, 
     bio_packet_iris_non_human_count_daily_v1:6 ,
     bio_packet_face_non_human_count_daily_v1:6,
     bio_packet_iris_mixed_count_daily_v1:4,
     bio_packet_iris_swap_count_daily_v1:4,
     bio_packet_finger_swap_count_daily_v1:4,
     bio_packet_finger_mixed_count_daily_v1:4,
     bio_packet_face_adult_as_child_count_daily_v1:2
     }, method:weighted_average, period_in_days:30]",,,,,strot.operator360.features_bio_v1,bio_mfc_fraud_score_v2
